PostId,ReplyToCount,ReshareCount,TotalFKReferences
312649-394927,203,0,203
312649-438574,158,0,158
312649-434466,111,0,111
312649-399565,110,0,110
312649-116873,107,0,107
312649-206184,100,0,100
312649-1142187,86,0,86
312649-267363,83,0,83
312649-251532,81,0,81
312649-1070540,79,0,79
312649-347790,78,0,78
312649-271736,77,0,77
312649-394853,73,0,73
312649-1069818,68,0,68
312649-433152,64,0,64
312649-871760,64,0,64
312649-1231738,57,0,57
312649-1037726,55,0,55
312649-393541,55,0,55
312649-114491,52,0,52
312649-27217,52,0,52
312649-1055364,51,0,51
312649-434447,48,0,48
312649-49472,48,0,48
312649-394909,47,0,47
312649-116881,46,0,46
312649-1228140,46,0,46
312649-1036712,45,0,45
312649-347832,45,0,45
312649-119654,44,0,44
312649-417292,44,0,44
312649-1247736,43,0,43
312649-1248429,43,0,43
312649-27147,43,0,43
312649-1261394,43,0,43
312649-111942,42,0,42
312649-76838,42,0,42
312649-1262465,37,0,37
312649-25190,36,0,36
312649-1235701,36,0,36
312649-1079776,35,0,35
312649-206165,35,0,35
312649-807711,35,0,35
312649-27207,34,0,34
312649-347830,34,0,34
312649-189254,33,0,33
312649-110219,33,0,33
312649-1233584,33,0,33
312649-1250170,32,0,32
312649-1106440,32,0,32
312649-1076284,32,0,32
312649-1268191,32,0,32
312649-349932,32,0,32
312649-271696,31,0,31
312649-1082696,31,0,31
312649-1104388,31,0,31
312649-349952,30,0,30
312649-1249017,29,0,29
312649-1056094,28,0,28
312649-143874,28,0,28
312649-384452,28,0,28
312649-970486,28,0,28
312649-223139,27,0,27
312649-1235702,27,0,27
312649-114459,26,0,26
312649-1108656,26,0,26
312649-203975,26,0,26
312649-117926,25,0,25
312649-1241621,25,0,25
312649-968959,25,0,25
312649-438582,25,0,25
312649-78218,24,0,24
312649-119824,24,0,24
312649-1055758,24,0,24
312649-1058234,23,0,23
312649-1165888,23,0,23
312649-438420,23,0,23
312649-981955,23,0,23
312649-399572,22,0,22
312649-443611,22,0,22
312649-1249403,22,0,22
312649-1237967,22,0,22
312649-187161,22,0,22
312649-211534,21,0,21
312649-1041630,21,0,21
312649-1019014,21,0,21
312649-1097497,20,1,21
312649-886944,21,0,21
312649-829581,21,0,21
312649-841131,21,0,21
312649-1241254,20,0,20
312649-225334,19,1,20
312649-1263503,20,0,20
312649-305234,20,0,20
312649-980194,19,0,19
312649-394887,19,0,19
312649-432655,19,0,19
312649-1131585,18,0,18
312649-1102882,18,0,18
312649-1071962,18,0,18
312649-1078475,17,0,17
312649-1117902,17,0,17
312649-1041256,17,0,17
312649-25957,17,0,17
312649-251617,16,1,17
312649-315680,17,0,17
312649-425130,17,0,17
312649-692833,15,2,17
312649-925072,17,0,17
312649-963560,16,0,16
312649-789991,16,0,16
312649-143908,16,0,16
312649-1247361,16,0,16
312649-271339,15,0,15
312649-384433,15,0,15
312649-823857,15,0,15
312649-890189,14,0,14
312649-540601,14,0,14
312649-560315,14,0,14
312649-73174,14,0,14
312649-347823,14,0,14
312649-235403,14,0,14
312649-211566,14,0,14
312649-1164474,13,1,14
312649-1229212,13,0,13
312649-119822,13,0,13
312649-1050674,13,0,13
312649-1109666,13,0,13
312649-1108705,13,0,13
312649-1103193,13,0,13
312649-1269618,13,0,13
312649-1263196,13,0,13
312649-371193,13,0,13
312649-816655,13,0,13
312649-544501,12,0,12
312649-401829,12,0,12
312649-440667,12,0,12
312649-956362,12,0,12
312649-936176,11,1,12
312649-942261,12,0,12
312649-347768,12,0,12
312649-30525,12,0,12
312649-1266693,12,0,12
312649-211573,12,0,12
312649-184872,12,0,12
312649-1025190,12,0,12
312649-1221277,11,0,11
312649-172715,11,0,11
312649-1266334,11,0,11
312649-1268931,11,0,11
312649-142881,11,0,11
312649-327210,11,0,11
312649-381309,11,0,11
312649-953880,11,0,11
312649-833650,11,0,11
312649-972271,11,0,11
312649-987277,11,0,11
312649-830434,10,0,10
312649-825336,10,0,10
312649-875758,10,0,10
312649-936173,10,0,10
312649-439632,10,0,10
312649-437860,10,0,10
312649-554634,10,0,10
312649-810911,10,0,10
312649-809129,10,0,10
312649-601423,10,0,10
312649-326803,10,0,10
312649-271320,10,0,10
312649-246953,9,1,10
312649-1270044,10,0,10
312649-1255586,10,0,10
312649-1232173,10,0,10
312649-1236125,10,0,10
312649-1168772,10,0,10
312649-1147155,9,1,10
312649-100054,10,0,10
312649-1044213,9,0,9
312649-1079754,9,0,9
312649-1081659,9,0,9
312649-1151169,9,0,9
312649-1170109,9,0,9
312649-1164373,9,0,9
312649-1156543,9,0,9
312649-1242556,9,0,9
312649-1256994,9,0,9
312649-1251327,9,0,9
312649-1262856,9,0,9
312649-1261993,9,0,9
312649-184873,9,0,9
312649-235424,9,0,9
312649-296630,9,0,9
312649-371886,9,0,9
312649-348175,9,0,9
312649-352739,9,0,9
312649-619810,7,2,9
312649-63228,9,0,9
312649-799018,9,0,9
312649-76986,9,0,9
312649-551044,9,0,9
312649-587390,9,0,9
312649-420914,9,0,9
312649-399568,9,0,9
312649-38886,9,0,9
312649-953462,9,0,9
312649-962963,9,0,9
312649-859099,9,0,9
312649-845083,9,0,9
312649-849861,9,0,9
312649-822875,8,0,8
312649-881197,8,0,8
312649-885521,8,0,8
312649-942677,8,0,8
312649-384935,8,0,8
312649-401848,8,0,8
312649-411904,8,0,8
312649-440610,8,0,8
312649-433175,8,0,8
312649-434846,8,0,8
312649-564327,8,0,8
312649-543830,8,0,8
312649-693271,6,2,8
312649-369368,8,0,8
312649-238218,8,0,8
312649-275036,8,0,8
312649-1263202,8,0,8
312649-1257715,8,0,8
312649-1268237,8,0,8
312649-147052,8,0,8
312649-1250198,8,0,8
312649-119115,8,0,8
312649-1154431,8,0,8
312649-1160059,8,0,8
312649-1106123,8,0,8
312649-1034795,8,0,8
312649-1051665,8,0,8
312649-1006999,8,0,8
312649-1026521,8,0,8
312649-1022212,7,0,7
312649-1006791,7,0,7
312649-1012730,7,0,7
312649-111549,7,0,7
312649-1082795,7,0,7
312649-1062171,7,0,7
312649-1063241,7,0,7
312649-1156885,7,0,7
312649-1142139,7,0,7
312649-1141079,7,0,7
312649-113377,7,0,7
312649-1246543,7,0,7
312649-123400,7,0,7
312649-14419,7,0,7
312649-144670,7,0,7
312649-1259139,7,0,7
312649-1252705,7,0,7
312649-1263114,7,0,7
312649-1263433,7,0,7
312649-1266802,7,0,7
312649-1264152,7,0,7
312649-183846,7,0,7
312649-304981,7,0,7
312649-285745,7,0,7
312649-289739,7,0,7
312649-327274,7,0,7
312649-324429,7,0,7
312649-324705,7,0,7
312649-331573,7,0,7
312649-70552,7,0,7
312649-789320,7,0,7
312649-549258,7,0,7
312649-44752,7,0,7
312649-4763,7,0,7
312649-561026,7,0,7
312649-436272,7,0,7
312649-432690,7,0,7
312649-423420,7,0,7
312649-41908,7,0,7
312649-385898,7,0,7
312649-396415,7,0,7
312649-389144,7,0,7
312649-936980,7,0,7
312649-907037,7,0,7
312649-882182,7,0,7
312649-982310,7,0,7
312649-980532,7,0,7
312649-990684,6,1,7
312649-997013,7,0,7
312649-885423,6,0,6
312649-877553,6,0,6
312649-879400,6,0,6
312649-86956,6,0,6
312649-85592,6,0,6
312649-942647,6,0,6
312649-94020,6,0,6
312649-940615,6,0,6
312649-394614,6,0,6
312649-386316,6,0,6
312649-412532,6,0,6
312649-403125,6,0,6
312649-399559,6,0,6
312649-420043,6,0,6
312649-415794,6,0,6
312649-425888,6,0,6
312649-588490,6,0,6
312649-50955,6,0,6
312649-548867,6,0,6
312649-781765,6,0,6
312649-815204,6,0,6
312649-75289,6,0,6
312649-737505,5,1,6
312649-71272,6,0,6
312649-323702,5,1,6
312649-318889,6,0,6
312649-381328,6,0,6
312649-380196,6,0,6
312649-353229,6,0,6
312649-349881,6,0,6
312649-358847,6,0,6
312649-292585,6,0,6
312649-192940,6,0,6
312649-211263,6,0,6
312649-213053,6,0,6
312649-1267095,6,0,6
312649-1262489,6,0,6
312649-1251296,6,0,6
312649-1233203,6,0,6
312649-122917,6,0,6
312649-1229992,6,0,6
312649-1248386,6,0,6
312649-1245448,6,0,6
312649-1195309,6,0,6
312649-1217425,5,1,6
312649-1137364,6,0,6
312649-1151442,6,0,6
312649-1070539,6,0,6
312649-1068997,6,0,6
312649-1078088,5,1,6
312649-1075579,6,0,6
312649-1102463,6,0,6
312649-1089239,6,0,6
312649-1004235,6,0,6
312649-1019781,6,0,6
312649-1026873,6,0,6
312649-1023316,6,0,6
312649-1032320,6,0,6
312649-1032037,5,0,5
312649-1044232,5,0,5
312649-1039829,5,0,5
312649-1055069,5,0,5
312649-1055702,5,0,5
312649-1049249,5,0,5
312649-1022168,5,0,5
312649-1003352,5,0,5
312649-1004211,5,0,5
312649-1002429,5,0,5
312649-100993,5,0,5
312649-1016177,5,0,5
312649-1088911,5,0,5
312649-1088154,5,0,5
312649-1107509,5,0,5
312649-111905,5,0,5
312649-1074094,5,0,5
312649-1071636,5,0,5
312649-1064783,5,0,5
312649-1150765,5,0,5
312649-1144573,5,0,5
312649-1146746,5,0,5
312649-1129196,5,0,5
312649-1156551,5,0,5
312649-1157255,5,0,5
312649-1153210,5,0,5
312649-1154067,5,0,5
312649-1164403,5,0,5
312649-1166228,5,0,5
312649-1169056,5,0,5
312649-1220201,5,0,5
312649-1212367,5,0,5
312649-122387,5,0,5
312649-1223872,5,0,5
312649-1198910,5,0,5
312649-1203709,5,0,5
312649-1242275,5,0,5
312649-1242602,5,0,5
312649-1247703,5,0,5
312649-1247708,5,0,5
312649-1249524,5,0,5
312649-1230697,5,0,5
312649-1235312,5,0,5
312649-1236839,5,0,5
312649-1251936,5,0,5
312649-1254553,5,0,5
312649-1254794,5,0,5
312649-125879,5,0,5
312649-1259256,5,0,5
312649-1261370,5,0,5
312649-1268200,5,0,5
312649-1265609,5,0,5
312649-143885,5,0,5
312649-141766,5,0,5
312649-147903,5,0,5
312649-1269927,5,0,5
312649-137685,5,0,5
312649-211306,5,0,5
312649-210574,5,0,5
312649-207329,5,0,5
312649-201078,5,0,5
312649-200078,5,0,5
312649-235434,5,0,5
312649-191091,5,0,5
312649-159395,5,0,5
312649-163335,5,0,5
312649-165175,5,0,5
312649-166164,5,0,5
312649-279317,5,0,5
312649-280729,5,0,5
312649-310658,5,0,5
312649-312016,5,0,5
312649-251988,4,1,5
312649-361733,5,0,5
312649-361713,5,0,5
312649-364956,5,0,5
312649-367205,5,0,5
312649-353587,5,0,5
312649-380527,5,0,5
312649-367538,5,0,5
312649-373396,5,0,5
312649-373727,5,0,5
312649-313185,5,0,5
312649-324277,5,0,5
312649-326111,5,0,5
312649-347007,5,0,5
312649-345222,5,0,5
312649-345510,5,0,5
312649-343757,5,0,5
312649-68993,5,0,5
312649-60219,5,0,5
312649-648256,5,0,5
312649-72604,5,0,5
312649-809803,5,0,5
312649-802622,5,0,5
312649-780372,5,0,5
312649-544790,5,0,5
312649-47780,5,0,5
312649-585584,5,0,5
312649-584575,5,0,5
312649-592413,5,0,5
312649-592793,5,0,5
312649-561114,5,0,5
312649-571547,5,0,5
312649-416094,5,0,5
312649-41790,5,0,5
312649-433452,4,1,5
312649-402764,5,0,5
312649-402792,5,0,5
312649-402899,5,0,5
312649-405333,5,0,5
312649-38998,5,0,5
312649-946329,5,0,5
312649-963982,5,0,5
312649-957190,5,0,5
312649-904250,5,0,5
312649-930123,5,0,5
312649-913216,4,1,5
312649-868847,5,0,5
312649-872504,5,0,5
312649-882196,5,0,5
312649-885475,5,0,5
312649-888314,5,0,5
312649-980946,5,0,5
312649-981642,5,0,5
312649-980233,5,0,5
312649-979793,4,0,4
312649-981660,4,0,4
312649-980567,4,0,4
312649-982740,4,0,4
312649-985616,4,0,4
312649-995328,4,0,4
312649-991715,4,0,4
312649-878331,4,0,4
312649-877907,4,0,4
312649-871705,4,0,4
312649-871128,4,0,4
312649-856667,4,0,4
312649-858166,4,0,4
312649-861343,4,0,4
312649-850840,4,0,4
312649-842563,4,0,4
312649-823568,4,0,4
312649-824914,4,0,4
312649-832198,4,0,4
312649-916789,4,0,4
312649-930494,4,0,4
312649-92800,4,0,4
312649-901580,4,0,4
312649-901642,4,0,4
312649-906679,4,0,4
312649-907779,4,0,4
312649-891128,4,0,4
312649-953861,4,0,4
312649-964758,4,0,4
