PostId,PostText,PublishedDate
312649-272761,Hj I have contract can I upgrade to this,14 06 2022
312649-272825,It's been 2 weeks now ever since i applied till noe i haven't received anything.,14 06 2022
312649-272903,Thuto Pule,14 06 2022
312649-274224,I've been trying to upgrade since may till today no feedback or any communication... At this point i give up.,14 06 2022
312649-275011,Erika Van Jaarsveld,14 06 2022
312649-276485,I've already applied online but i haven't received anything,13 06 2022
312649-278966,Limitless? 🤔,11 06 2022
312649-280014,How I cancel the contract? I’m going back to cell-c. Coverage for two months then there’s always no internet connection.,10 06 2022
312649-280016,"Im cancelling my contract ASAP going back to cell C, your network coverage is 💩",10 06 2022
312649-281506,I have the simcard but how do I buy these,10 06 2022
312649-283977,Can I get this deal provided that I want to use my WiFi Router ?,09 06 2022
312649-285095,I need this for my school,08 06 2022
312649-285370,https://youtu.be/NZ4SAZTJSrY,08 06 2022
312649-285738,I been trying but no one called me why?,08 06 2022
312649-289070,I tried to apply but no luck,06 06 2022
312649-290765,this data flies like wild fire,04 06 2022
312649-291124,If it's a month to month you still going to need a pay slip and 3mnths bank statements also check the credit records?,04 06 2022
312649-291137,Nice deal sim only I'm happy,04 06 2022
312649-291211,0762391852 please call me for this deal,04 06 2022
312649-291212,Sim only deals please please,04 06 2022
312649-293387,I need this for my business dies it come with a router or a Sim only ¿?,03 06 2022
312649-294900,Siyabonga Lastborn Nokulunga Dlamini dinga le wena,01 06 2022
312649-295907,I it contract or prepaid?,01 06 2022
312649-296645,"Hi Bakang, apology for the delayed response. The LTE 120GB Anytime + 120GB Night data @ R249 month to month is a SIM only deal. You have the option to add a router for a additional R50 pm. Please select the link below to view the deal, and an online application can be processed. ^Frank https://secure.telkom.co.za/today/shop/personal/plan/lte-wireless-post-paid-120gb-pv/#js",01 06 2022
312649-296990,But I m getting declined about your system,31 05 2022
312649-297984,"It takes how many days to get a response from you guys, I've been waiting 3 days now",31 05 2022
312649-298359,Is it a Sim card or home router ?,30 05 2022
312649-298365,"What about freelancers with no ""proof of income""? Do we qualify?",30 05 2022
312649-300627,"Naaa, there are your LTE tariffs. Nothing like what u are advertising.",28 05 2022
312649-301657,Once off deals are always better because you're not trapped to paying once you're no longer able to . Sometimes you just want a cheap deal that month than the month before.,28 05 2022
312649-301963,Priya Pillay,27 05 2022
312649-302036,I want Sim only is it possible,27 05 2022
312649-302046,I'm very interesting please i want apply it,27 05 2022
312649-303036,Is this only on contract ?,27 05 2022
312649-303854,Can pay every month if I don't work??,27 05 2022
312649-304575,It's not a contract?,26 05 2022
312649-305279,I am interested in this offer,26 05 2022
312649-305596,Does the month to month no contract?,26 05 2022
312649-306630,How to activate the sim card,25 05 2022
312649-308879,Do you need payslips?,24 05 2022
312649-309623,https://moneymarketaccount.co.za/offer?promoCode=Tcprsghu,24 05 2022
312649-310647,Does this sim card get 120GB +120GB both or it for one sim card,23 05 2022
312649-310737,🚮🚮🚮Telkom network.. it's has been three days with no Network at Hammarsdale. I will move back to MTN. With MTN I never experienced this nonsense.,23 05 2022
312649-310937,It goes with a rooter its just simple card,23 05 2022
312649-311048,Got my SIM on THURSDAY and still not activated...,23 05 2022
312649-312083,Mahlangu KaNgoyoyo Nonduduzo Elsie Zweli Zesty ngyayivala wifi,23 05 2022
312649-313215,Scam lesi qhubekani kodwa,21 05 2022
312649-313508,How to dial,21 05 2022
312649-313530,Did you know? Shoprite has a free bank account called Money Market Account? No monthly fees or debit orders. PLUS earn a R5 voucher every time you refer a friend who successfully opens an account. Ts&Cs apply. You can sign up here: https://moneymarketaccount.co.za/offer?promoCode=ZDKBBABw,21 05 2022
312649-313562,"I'm still waiting for my delivery, since last month 😪",21 05 2022
312649-314228,Is there any deal either than this 🤷‍♂️🤷‍♂️🤷‍♂️,21 05 2022
312649-314266,No network coverage at ulundi Nhlungwane.,21 05 2022
312649-315061,I’m using it and so far I’m happy ❤️,20 05 2022
312649-316335,Only if it was available on Prepaid... 😢,19 05 2022
312649-316355,Customer service number please,19 05 2022
312649-317818,Portia Mphatle bonaaa,18 05 2022
312649-319708,Khosi Yolokazi Shongwe Lobi,18 05 2022
312649-320351,Marcia Ditshego this is the one I was telling you about,17 05 2022
312649-323585,When the 120 gb Anytime data is valid for 2 months what does that means?,17 05 2022
312649-324354,The nerve to post without replying my messages 😤😤😤😤😤... 💔💔💔 💔💔,17 05 2022
312649-326117,Do you have that on prepaid?,16 05 2022
312649-326148,Ajay Sharma,16 05 2022
312649-326566,Did the unlimited deal change the one from R229,16 05 2022
312649-327279,Am interested.,15 05 2022
312649-327503,I want it plz how can i get it,14 05 2022
312649-327569,Good day Telkom. May I upgrade my existing deal to this deal? Where do I check if it's possible.,14 05 2022
312649-327620,At what time can I use you night data? Between what times,14 05 2022
312649-327643,Siyabonga X Ncube,14 05 2022
312649-327651,You guys also canceled my account for nothing,14 05 2022
312649-327933,I want this plssss help,14 05 2022
312649-330087,Shirt network,12 05 2022
312649-331533,How can I get this deal? I'm interested,12 05 2022
312649-331937,I applied for a iPhone 13 pro max two months ago was told it coming! I’m not sure if it stil under manufacturing process cz it’s too long nou,11 05 2022
312649-336882,Alician Deeven Moonsamy,10 05 2022
312649-337579,Kindly please provide me with a working number I want to know why am paying more than the agreed amount,10 05 2022
312649-337937,I applied for it but no one called,10 05 2022
312649-338421,Why all of a sudden the network paused its self,10 05 2022
312649-338671,Mohamed Ishtique Hadum,09 05 2022
312649-338693,Rre Rre Kamo Henneck try this,09 05 2022
312649-338783,What does postpaid mean? How does it differ from prepaid,09 05 2022
312649-339094,Wăqãřî Hassan,09 05 2022
312649-342636,And have a you tested you Facebook Form. It's not taking all contact phones. So survey for feedback about the form from user.,09 05 2022
312649-342651,Can I please get a call from your sales person to help me out. Please thanks,09 05 2022
312649-343007,I applied but still waiting,08 05 2022
312649-343484,https://www.facebook.com/groups/245948670172369/?ref=share_group_link,08 05 2022
312649-343853,How can I get this one on my lte SIM card,07 05 2022
312649-343870,I wanna port,07 05 2022
312649-344788,I want this deat,07 05 2022
312649-345170,How much is a 1TB?,07 05 2022
312649-346299,Is this fixed LTE for 1 location or it's for everywhere I go?,06 05 2022
312649-346632,ive been waiting for my sim 2 be delivered 4 two weeks now I'm disappointed,05 05 2022
312649-347750,"I do 1Tb a month on Rain for almost the same amount. You must be kidding selling this package in this day and age, especially when you own your infrastructure and most of the backbones.",04 05 2022
312649-348034,"I m still waiting for some1 2 call me, as I been to cornubia branch over 5 times & they are always offline.",04 05 2022
312649-348065,I want a sim contract for R59,04 05 2022
312649-348093,I want a sim contract,04 05 2022
312649-348129,Bonita Mothei Mosesane,04 05 2022
312649-348130,Lesego Mothibatsela,04 05 2022
312649-348146,Network coverage is bad really bad,04 05 2022
312649-348201,"I'm on off peak 250MB 7mbs the 50MB 4mps and mbps until month end R230 ,12midnight to 7pm ,",04 05 2022
312649-348520,This deal very sweet,04 05 2022
312649-348900,I need 2 sim cards,03 05 2022
312649-349562,Dunisani Hlungwani-Skhalele,03 05 2022
312649-351017,Empress Rorisang Tshepi apply,02 05 2022
312649-351378,good deal but we will never get to use the 120Gbs your net is so bad that we cannot keep a stable connection. Now we checked and made sure our area was covered and we are indeed covered but it might as well not be because it is that slow. 😶,02 05 2022
